index,Matchup URL,Matchup,Teams,Opponent,Round Win Pct,Map Win Pct
3,https://www.vlr.gg/337414/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-lbf,G2 Esports_vs_LEVIATÁN,B,Others,0.5142857142857142,0.5789473684210527
0,https://www.vlr.gg/314648/kr-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w4,KRÜ Esports_vs_100 Thieves,A,B,0.4915254237288136,0.3333333333333333
1,https://www.vlr.gg/314648/kr-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w4,KRÜ Esports_vs_100 Thieves,A,Others,0.5596816976127321,0.6666666666666666
2,https://www.vlr.gg/314648/kr-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w4,KRÜ Esports_vs_100 Thieves,B,A,0.5084745762711864,0.6666666666666666
3,https://www.vlr.gg/314648/kr-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w4,KRÜ Esports_vs_100 Thieves,B,Others,0.48533333333333334,0.4444444444444444
0,https://www.vlr.gg/314622/cloud9-vs-leviat-n-champions-tour-2024-americas-stage-1-w1,Cloud9_vs_LEVIATÁN,A,B,0.49282296650717705,0.4
1,https://www.vlr.gg/314622/cloud9-vs-leviat-n-champions-tour-2024-americas-stage-1-w1,Cloud9_vs_LEVIATÁN,A,Others,0.4567901234567901,0.2857142857142857
2,https://www.vlr.gg/314622/cloud9-vs-leviat-n-champions-tour-2024-americas-stage-1-w1,Cloud9_vs_LEVIATÁN,B,A,0.507177033492823,0.6
3,https://www.vlr.gg/314622/cloud9-vs-leviat-n-champions-tour-2024-americas-stage-1-w1,Cloud9_vs_LEVIATÁN,B,Others,0.45481049562682213,0.4117647058823529
0,https://www.vlr.gg/314623/nrg-esports-vs-loud-champions-tour-2024-americas-stage-1-w1,NRG Esports_vs_LOUD,A,B,0.48404255319148937,0.375
1,https://www.vlr.gg/314623/nrg-esports-vs-loud-champions-tour-2024-americas-stage-1-w1,NRG Esports_vs_LOUD,A,Others,0.5325581395348837,0.6842105263157895
2,https://www.vlr.gg/314623/nrg-esports-vs-loud-champions-tour-2024-americas-stage-1-w1,NRG Esports_vs_LOUD,B,A,0.5159574468085106,0.625
3,https://www.vlr.gg/314623/nrg-esports-vs-loud-champions-tour-2024-americas-stage-1-w1,NRG Esports_vs_LOUD,B,Others,0.5591133004926109,0.7
0,https://www.vlr.gg/314626/kr-esports-vs-furia-champions-tour-2024-americas-stage-1-w1,KRÜ Esports_vs_FURIA,A,B,0.4563758389261745,0.2857142857142857
